symbol,date,open,high,low,close,adj_close,volume,source
BANKNIFTY,2019-01-01,27231.4004,27430.5508,27019.0508,27392.4004,27392.082,116400,yahoo
BANKNIFTY,2019-01-02,27297,27397.5508,27077.5996,27174.6992,27174.3828,0,yahoo
BANKNIFTY,2019-01-03,27181.5996,27206.1992,26923.75,26959.8496,26959.5371,0,yahoo
BANKNIFTY,2019-01-04,26999.6992,27274.5,26926.0996,27195,27194.6836,0,yahoo
BANKNIFTY,2019-01-07,27378.6504,27477.8008,27279.5508,27304.5508,27304.2344,0,yahoo
BANKNIFTY,2019-01-08,27301.9004,27542.4004,27161.9492,27509.5,27509.1797,146100,yahoo
BANKNIFTY,2019-01-09,27651.25,27754.4492,27409.5,27720.4004,27720.0781,0,yahoo
BANKNIFTY,2019-01-10,27713.5508,27713.5508,27488.1992,27528.5508,27528.2305,0,yahoo
BANKNIFTY,2019-01-11,27602.8008,27612.4492,27382.4492,27453.9004,27453.582,0,yahoo
BANKNIFTY,2019-01-14,27389.1992,27389.8008,27182.1992,27248.25,27247.9336,0,yahoo
BANKNIFTY,2019-01-15,27317.5508,27447.5508,27317.0996,27400.75,27400.4316,0,yahoo
BANKNIFTY,2019-01-16,27405.6504,27554.75,27403.0508,27483.6992,27483.3789,0,yahoo
BANKNIFTY,2019-01-17,27568.5996,27611.5508,27335.1504,27528.75,27528.4297,0,yahoo
BANKNIFTY,2019-01-18,27550.0508,27576.4492,27410.6504,27456.6992,27456.3809,0,yahoo
BANKNIFTY,2019-01-21,27514.5508,27622.1992,27388.5,27533.5996,27533.2793,0,yahoo
BANKNIFTY,2019-01-22,27526.5508,27533.3496,27385.4004,27482.25,27481.9297,0,yahoo
BANKNIFTY,2019-01-23,27493.0996,27564.6992,27189.5996,27250.75,27250.4336,0,yahoo
BANKNIFTY,2019-01-24,27273.5,27342.3496,27142.8008,27266.4004,27266.084,0,yahoo
BANKNIFTY,2019-01-25,27261.4492,27433.5508,27045.1992,27115.3008,27114.9863,0,yahoo
BANKNIFTY,2019-01-28,27041.4492,27134.1992,26587.9492,26653.0508,26652.7402,0,yahoo
BANKNIFTY,2019-01-29,26616.25,26743.8496,26441.5508,26573.4004,26573.0918,0,yahoo
BANKNIFTY,2019-01-30,26789.75,26916.25,26693.6992,26825.5,26825.1875,0,yahoo
BANKNIFTY,2019-01-31,26969.1504,27325.0508,26891.0508,27295.4492,27295.1328,0,yahoo
BANKNIFTY,2019-02-01,27334.5508,27533.0508,26930.4492,27085.9492,27085.6348,231600,yahoo
BANKNIFTY,2019-02-04,26974,27243.8008,26825.5508,27186.5996,27186.2832,0,yahoo
BANKNIFTY,2019-02-05,27226.0508,27348.25,27153.1992,27271.6992,27271.3828,0,yahoo
BANKNIFTY,2019-02-06,27326.1992,27428.6504,27294.0996,27402.3496,27402.0312,0,yahoo
BANKNIFTY,2019-02-07,27424.0996,27589.75,27322.9492,27387.1504,27386.832,0,yahoo
BANKNIFTY,2019-02-08,27302.6504,27482.0996,27221.25,27294.4004,27294.084,0,yahoo
BANKNIFTY,2019-02-11,27240.5,27305.9004,27151.5508,27227.8008,27227.4844,0,yahoo
BANKNIFTY,2019-02-12,27166.9004,27286.6504,26988.9004,27010.75,27010.4355,0,yahoo
BANKNIFTY,2019-02-14,26978,27030,26818.0508,26970.5996,26970.2852,0,yahoo
BANKNIFTY,2019-02-15,27017.1992,27029.9492,26635.25,26794.25,26793.9395,0,yahoo
BANKNIFTY,2019-02-18,26754.5996,26829.9492,26617.6992,26654.25,26653.9395,0,yahoo
