symbol,date,open,high,low,close,adj_close,volume,source
BANKNIFTY,2014-01-01,11418.9004,11432.5498,11361,11385.5996,11385.4668,12100,yahoo
BANKNIFTY,2014-01-02,11383.7998,11578.9004,11150.2002,11183.2002,11183.0703,39900,yahoo
BANKNIFTY,2014-01-03,11098.25,11208,11052.5996,11181.6504,11181.5205,28200,yahoo
BANKNIFTY,2014-01-06,11174.3496,11174.3496,10996.9502,11049.0498,11048.9209,20500,yahoo
BANKNIFTY,2014-01-07,11097.7998,11154.0996,10892.1504,11036.75,11036.6221,30300,yahoo
BANKNIFTY,2014-01-08,11071.75,11122.75,10988.7998,11053.7002,11053.5713,33400,yahoo
BANKNIFTY,2014-01-09,11068.9004,11090.25,10925.1504,10970.4502,10970.3223,29400,yahoo
BANKNIFTY,2014-01-10,10969.3496,11056.9004,10788.2002,10805.2998,10805.1738,35900,yahoo
BANKNIFTY,2014-01-13,10814.6504,11070.2002,10814.6504,11021.5996,11021.4717,26100,yahoo
BANKNIFTY,2014-01-14,10989.1504,11065.6504,10922.5996,10948.9004,10948.7734,21600,yahoo
BANKNIFTY,2014-01-15,11000.2002,11164.0996,10986.0996,11125.4004,11125.2715,35900,yahoo
BANKNIFTY,2014-01-16,11187.3496,11192.7998,11070,11092.5498,11092.4209,22800,yahoo
BANKNIFTY,2014-01-17,11080.0996,11081.9502,10893.75,10911.3496,10911.2227,30600,yahoo
BANKNIFTY,2014-01-20,10909.9004,11022.4502,10876.25,11007.5,11007.3721,17600,yahoo
BANKNIFTY,2014-01-21,11067.0498,11190.0996,11036.4004,11171.5,11171.3701,22400,yahoo
BANKNIFTY,2014-01-22,11164.25,11248.3496,11094.7998,11207.3496,11207.2197,21600,yahoo
BANKNIFTY,2014-01-23,11183.75,11221.0996,11122.3496,11199,11198.8701,21100,yahoo
BANKNIFTY,2014-01-24,11063.2002,11132.7002,10972.0996,10982.4004,10982.2725,26100,yahoo
BANKNIFTY,2014-01-27,10802.2998,10802.2998,10520.9004,10540.4004,10540.2783,37200,yahoo
BANKNIFTY,2014-01-28,10541.5,10708,10333.4004,10507.5996,10507.4775,46700,yahoo
BANKNIFTY,2014-01-29,10609.9004,10644.2002,10406.9502,10437.75,10437.6289,27900,yahoo
BANKNIFTY,2014-01-30,10287.8496,10314.25,10101.2002,10153.1504,10153.0322,47900,yahoo
BANKNIFTY,2014-01-31,10193.5498,10266.4502,10130.2998,10237.75,10237.6309,44100,yahoo
BANKNIFTY,2014-02-03,10205.4502,10222.6504,10089.25,10102.0996,10101.9824,30400,yahoo
BANKNIFTY,2014-02-04,9983.6504,10222.0996,9944,10191.2002,10191.082,35500,yahoo
BANKNIFTY,2014-02-05,10215.6504,10254.0498,10112.5,10231.6504,10231.5312,27700,yahoo
BANKNIFTY,2014-02-06,10257.0996,10321.5,10107.7998,10205.2002,10205.082,34800,yahoo
BANKNIFTY,2014-02-07,10311.9502,10321.0996,10180.8496,10263.2002,10263.0811,23100,yahoo
BANKNIFTY,2014-02-10,10287.3496,10310.2998,10187.7998,10213.9004,10213.7812,18000,yahoo
BANKNIFTY,2014-02-11,10242.0996,10296.7998,10200.5996,10245.4502,10245.3311,15200,yahoo
BANKNIFTY,2014-02-12,10307.5996,10395.1504,10307.5996,10348.7998,10348.6797,24100,yahoo
BANKNIFTY,2014-02-13,10360.7002,10386.6504,10113.7998,10135.7002,10135.582,25800,yahoo
BANKNIFTY,2014-02-14,10169,10229.4502,10064.75,10203.75,10203.6318,28300,yahoo
BANKNIFTY,2014-02-17,10217.1504,10358,10205.7998,10326.5498,10326.4297,20000,yahoo
BANKNIFTY,2014-02-18,10324.3496,10618.8496,10296.25,10575.2002,10575.0771,26100,yahoo
BANKNIFTY,2014-02-19,10548.3496,10630.1504,10520.2998,10609.5996,10609.4766,20200,yahoo
BANKNIFTY,2014-02-20,10515.2998,10525.7002,10419.0996,10428.2998,10428.1787,24200,yahoo
BANKNIFTY,2014-02-21,10429.2998,10584.75,10429.2998,10554.3496,10554.2266,16400,yahoo
BANKNIFTY,2014-02-24,10508.9502,10711.6504,10471.4502,10683.5,10683.376,21300,yahoo
BANKNIFTY,2014-02-25,10742.1504,10768.9502,10611.75,10666.75,10666.626,19100,yahoo
BANKNIFTY,2014-02-26,10659.2002,10758.6504,10659.2002,10730.4004,10730.2754,20100,yahoo
BANKNIFTY,2014-02-28,10793.5996,10793.5996,10688.9502,10764.7002,10764.5752,23200,yahoo
BANKNIFTY,2014-03-03,10705.4502,10836.2002,10613,10651.9502,10651.8262,24100,yahoo
BANKNIFTY,2014-03-04,10661.4004,10936.75,10661.4004,10929.0498,10928.9229,36100,yahoo
BANKNIFTY,2014-03-05,10987.5996,11122.5498,10899.4004,11098.7998,11098.6709,46400,yahoo
BANKNIFTY,2014-03-06,11147.5996,11303.2002,11117.25,11278.3496,11278.2188,37200,yahoo
