symbol,date,open,high,low,close,adj_close,volume,source
ABB,2016-01-01,1015.6669,1021.3411,1008.631,1013.5789,958.0814,18199,yahoo
ABB,2016-01-04,1013.1703,1022.1127,1007.7231,1016.9379,961.2566,62948,yahoo
ABB,2016-01-05,1015.6669,1030.7374,982.5301,993.6967,939.2879,76877,yahoo
ABB,2016-01-06,989.8383,1003.0931,973.7238,978.3085,924.7422,35978,yahoo
ABB,2016-01-07,975.9481,980.3966,949.484,956.3837,904.0181,35920,yahoo
ABB,2016-01-08,953.751,971.4088,953.2516,958.2902,905.8201,29299,yahoo
ABB,2016-01-11,958.2902,958.3356,907.8587,914.0775,864.0282,56582,yahoo
ABB,2016-01-12,923.7008,948.7123,919.0253,931.7808,880.7621,46758,yahoo
ABB,2016-01-13,935.0945,947.8045,912.398,925.8797,875.1841,52335,yahoo
ABB,2016-01-14,921.4766,935.0945,908.7665,920.2056,869.8206,28885,yahoo
ABB,2016-01-15,921.4766,934.8221,912.398,920.251,869.8638,29830,yahoo
ABB,2016-01-18,912.398,924.4725,899.688,911.944,862.0115,37950,yahoo
ABB,2016-01-19,916.9373,939.2706,905.1351,925.5165,874.8409,32137,yahoo
ABB,2016-01-20,919.6609,924.2001,890.6094,902.0484,852.6578,24757,yahoo
ABB,2016-01-21,911.2632,920.7503,868.4576,875.6297,827.6856,28247,yahoo
ABB,2016-01-22,880.8499,897.1913,867.1866,878.9888,830.8607,35431,yahoo
ABB,2016-01-25,889.7015,902.3207,876.0836,890.6548,841.888,45341,yahoo
ABB,2016-01-27,894.2408,894.2408,880.6229,883.6189,835.2372,27697,yahoo
ABB,2016-01-28,882.4841,888.7483,874.7219,879.6697,831.5043,23433,yahoo
ABB,2016-01-29,878.7164,888.7936,873.36,881.6216,833.3494,20531,yahoo
ABB,2016-02-01,889.2476,932.5978,884.9807,906.7693,857.1202,126960,yahoo
ABB,2016-02-02,908.0403,930.1013,908.0403,921.1135,870.6788,181397,yahoo
ABB,2016-02-03,907.8587,942.902,903.3194,913.2151,863.2131,49593,yahoo
ABB,2016-02-04,917.8452,1087.6147,917.8452,1045.4447,988.2026,1861038,yahoo
ABB,2016-02-05,1041.314,1057.8369,1008.631,1029.421,973.0562,281084,yahoo
ABB,2016-02-08,1029.5117,1056.7476,980.4874,1003.0477,948.1269,149318,yahoo
ABB,2016-02-09,996.8289,1050.3925,989.566,1017.9366,962.2006,220147,yahoo
ABB,2016-02-10,1013.1703,1024.9724,935.5484,957.9271,905.477,342905,yahoo
ABB,2016-02-11,981.1683,1021.3411,971.4088,985.9799,931.9937,284067,yahoo
